"id","name","description","civic_number","street_name","city","province","country","postal_code","public_phone_number","public_email","latitude","longitude"
"326","ZAP - Chez Renaud Comptoirs Gourmet",,"2655","King Ouest ","Sherbrooke","Québec","Canada","J1L 2G4",,,"45.398289","-71.938479"
"338","ZAP - L'Ami-Daniel Unipneu",,"1466","Denault","Sherbrooke","Québec",,,"819-829-0757",,"45.388964","-71.909448"
"344","ZAP - Restaurant Auguste",,,,,,,,,,NULL,NULL
"345","ZAP - Freddy Pizzeria",,"835","Conseil","Sherbrooke","Québec","Canada","J1G3L2",,,"45.403737","-71.871516"
"347","ZAP - Le Club Stan-Buy",,"219","Wellington Sud","Sherbrooke","Québec","Canada","J1H 5E1","819-566-5595",,"45.397722","-71.888089"
"348","ZAP - CLD de la MRC de Memphrémagog",,"281","rue des Pins","Magog","Québec",,"J1X 2J1","(819)843-8273","cld@cldmemphremagog.com","45.270097","-72.151570"
"349","ZAP - Coopérative Funéraire de l’Estrie",,,,,,,,,,NULL,NULL
"350","ZAP - Hôtellerie Jardins de Ville #3",,"4235","Boulevard Bourque","Sherbrooke","Quebec","Canada","J1L 1N7","819-919-3958",,"45.384688","-71.965025"
"354","ZAP - Déjeuner Eggspresso Café Bistro",,"1747","Sherbrooke","Magog","Québec","Canada","J1X 2T5","819-769-4224",,"45.275898","-72.132608"
"355","ZAP - Restaurant Viet Cantine",,"107","Queen","Sherbrooke","Québec","Canada","J1M 1V4","819-346-5757",,"45.366472","-71.856519"
"356","ZAP - Clinique dentaire Galt",,,,,,,,,,NULL,NULL
"357","ZAP - DT-Bistro RF",,"4880","Boul. Bourque","Sherbrooke","Québec","Canada","J1N 2A7","(819) 822-4777",,"45.371811","-71.986948"
"358","ZAP - IGA Bouchard",,"6185","Chemin St-Elie","Sherbrooke","Québec","Canada","J1H 5B9","819-566-8555",,"45.394411","-72.013681"
"359","ZAP - Musée J.Armand Bombardier",,"1001","Avenue J.-A.-Bombardier","Valcourt","Québec","Canada","J0E2L0",,,"45.494694","-72.310524"
"360","ZAP - l’Omnibouffe",,"668","Bowen Sud","Sherbrooke","Québec","Canada","J1G 2E9","(819) 823-5337",,"45.396700","-71.878502"
"361","ZAP - Clinique Dentaire Rock Forest",,"4857","Boul. Bourque","Rock Forest","Québec","Canada","J1N 1E8","819-943-4857",,"45.370684","-71.989455"
"362","ZAP - NV Cloutier",,"2550","King Ouest","Sherbrooke","Québec","Canada"," J1J 2H1","819-346-3911",,"45.398062","-71.934675"
"363","ZAP - Rotisserie Parenteau Junior",,"2630","Dessaules","St-Hyacinthe","Québec","Canada","J2S2V5","450-773-8533",,"45.622050","-72.956482"
"364","ZAP - Café Lucas",,"84","Merry Nord","Magog","Québec","Canada","J1X2E6","819-847-4900",,"45.267763","-72.155388"
"367","ZAP - Casa du Spaghetti",,"604","Principale","Gramby","Québec","Canada","J2G2X7","450-372-3848",,"45.407726","-72.742159"
"368","ZAP - Ranch du Spaghetti",,,,,,,,,,NULL,NULL
"371","ZAP - Base Plein-Air André-Nadeau",,,,,,,,,,NULL,NULL
"372","ZAP - O Chevreuil",,"62-64","Wellington Nord","Sherbrooke","Québec","Canada","J1H 5B7","819-346-4440",,"45.402515","-71.890906"
"377","ZAP - Cégep de Sherbrooke (17)",,,,,,,,,,NULL,NULL
"378","ZAP - Cégep de Sherbrooke (17)",,,,,,,,,,NULL,NULL
"379","ZAP - Cégep de Sherbrooke (17)",,,,,,,,,,NULL,NULL
"380","ZAP - F8. Maison Bleue",,,,,,,,,,NULL,NULL
"381","ZAP - Gouts et Saveurs",,"408","Principale Ouest","Magog","Québec","Canada","J1X 2A9","819-868-4688",,"45.266195","-72.153565"
"382","ZAP - Rotisserie Orford",,"196","rue Sherbrooke","Magog","Québec","Canada","J1X 2R6","819-843-6833",,"45.266507","-72.145398"
"383","ZAP - Auberge Mc Gowan",,"51","Carré Copp","Georgeville","Québec","Canada","J0B 1T0"," 819-843-2126",,"45.129140","-72.188718"
"388","ZAP - Maison des Jeunes Coaticook",,"70","Laurence","Coaticook","Québec","Canada"," J1A2T7","819-849-7362",,"45.133739","-71.799772"
"392","ZAP - D13. Centrale Frontenac","ZAP - D13. Centrale Frontenac",,,,,,,,,NULL,NULL
"394","ZAP - Pub Le Moulin 7",,"294","Boul. St-Luc","Asbestos","Quebec","Canada","J1T 2W2","(819) 437-0464","info@moulin7.com","45.775708","-71.938132"
"395","ZAP - Aeroport de Sherbrooke #2",,"900","chemin de l'Aéroport","Cookshire-Eaton","Qc","Canada","J0B 1M0","819-832-1951","dg@airsherbrooke.org","45.441543","-71.689273"
"396","ZAP - Cafe St-Michel",,"503","Principale Ouest","Magog","Québec","Canada","J1X 2B2","819-868-1062",,"45.266690","-72.155230"
"398","ZAP - Delia Eggxtra",,"661","King Est","Sherbrooke","Québec","Canada","J1G1C1","819-566-5315",,"45.408093","-71.874102"
